prev_body_ratio,prev_upper_wick_ratio,prev_lower_wick_ratio,prev_wick_to_body_ratio,prev_is_bullish,curr_body_ratio,curr_upper_wick_ratio,curr_lower_wick_ratio,curr_wick_to_body_ratio,curr_is_bullish,label
0.1613,0.2742,0.5645,5.2,1,0.0952,0.8016,0.1032,9.5,1,Doji
0.6316,0.0263,0.3421,0.5833,1,0.0909,0.1818,0.7273,10.0,1,Doji
0.9677,0.0161,0.0161,0.0333,0,0.1134,0.5258,0.3608,7.8182,0,Doji
0.9651,0.0233,0.0116,0.0361,0,0.0461,0.4408,0.5132,20.7143,1,Doji
0.973,0.0135,0.0135,0.0278,0,0.0411,0.4521,0.5068,23.3333,0,Doji
0.9697,0.0152,0.0152,0.0312,0,0.0119,0.4286,0.5595,83.0,0,Doji
0.8462,0.0769,0.0769,0.1818,0,0.1143,0.3571,0.5286,7.75,0,Doji
0.9565,0.0217,0.0217,0.0455,0,0.0315,0.5984,0.3701,30.75,1,Doji
0.9643,0.0179,0.0179,0.037,0,0.0891,0.4059,0.505,10.2222,0,Doji
0.9375,0.0,0.0625,0.0667,1,0.0286,0.4381,0.5333,34.0,1,Doji
0.9429,0.0286,0.0286,0.0606,0,0.1014,0.2464,0.6522,8.8571,0,Doji
0.8182,0.0909,0.0909,0.2222,0,0.0391,0.2578,0.7031,24.6,1,Doji
0.06,0.71,0.23,15.6667,1,0.093,0.1163,0.7907,9.75,1,Doji
0.764,0.0112,0.2247,0.3088,1,0.0615,0.3846,0.5538,15.25,1,Doji
0.973,0.0,0.027,0.0278,0,0.0333,0.3333,0.6333,29.0,0,Doji
0.9577,0.0282,0.0141,0.0441,0,0.0455,0.6932,0.2614,21.0,1,Doji
0.3696,0.0,0.6304,1.7059,1,0.1045,0.2239,0.6716,8.5714,1,Doji
0.5474,0.0947,0.3579,0.8269,1,0.0612,0.5918,0.3469,15.3333,0,Doji
0.991,0.0,0.009,0.0091,0,0.0714,0.4167,0.5119,13.0,0,Doji
0.1837,0.0816,0.7347,4.4444,1,0.0364,0.5091,0.4545,26.5,1,Doji
